Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2016-06-08,Listup,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed,4.15
2016-06-08,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed,1.66
2016-06-08,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed,0.0
2016-06-08,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bengalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed,0.0
2016-06-08,Storeking,eCommerce,Connecting Small Town Consumers to E-Commerce,Bengalore,Axiata Digital,Private,132.8
2016-06-08,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed,0.0
2016-06-09,Myseniordoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed,1.66
2016-06-09,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed,0.0
2016-06-09,Extraaedge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed,0.0
2016-06-10,Epaylater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed,16.6
2016-06-10,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed,0.0
2016-06-10,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private,4.15
2016-06-10,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed,0.0
2016-06-10,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private,0.0
2016-06-11,Madrat Games,Technology,Wearable Gaming Platform,Bengalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed,0.0
2016-06-11,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private,0.0
2016-06-11,Autosense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private,0.0
2016-06-13,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private,0.0
2016-06-13,Khanagadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed,0.0
2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private,8.3
2016-06-14,Edtechreview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed,0.0
2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private,0.0
2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed,0.0
2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bengalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private,49.8
2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed,8.3
2016-06-15,Curejoy,Consumer Internet,Online Alternative health community platform,Bengalore,Accel Partners India,Private,36.52
2016-06-15,Oneway.Cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed,3.735
2016-06-16,Grabonrent,eCommerce,On-demand product rental marketplace,Bengalore,IvyCap Ventures and Unicorn India Ventures,Private,0.0
2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private,3.735
2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private,4.98
2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bengalore,Atul Ingle,Seed,0.0
2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private,0.0
2016-06-16,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bengalore,Sequoia Capital,Private,166.0
2016-06-17,Thinkphi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed,0.0
2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private,99.6
2016-06-17,Silvan Innovation Labs And Company,Technology,Home Automation Solutions,Bengalore,Infuse Ventures,Private,7.47
2016-06-17,Greythr,Technology,Payroll & HR Software Developer,Bengalore,"New Enterprise Associates (NEA), Blume Ventures",Private,43.16
2016-06-17,Duffl,eCommerce,Fashion Rental Marketplace,Bengalore,BetOnIndia Technology Pvt Ltd,Seed,0.0
2016-06-20,Byju,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bengalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed,0.0
2016-06-20,Dipper,eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed,0.0
2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed,0.0
2016-06-21,The Indian Iris,Consumer Internet,Govt Policy Research & Information portal,Ahemdabad,Timbru Ventures,Seed,0.0
2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed,1.245
2016-06-21,Restate,Consumer Internet,Real Estate Platform,Bengalore,Idein Ventures,Seed,0.0
2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private,0.0
2016-06-21,Procmart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private,0.0
2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bengalore,Bitkemy Ventures,Seed,3.32
2016-06-21,Naturenama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed,1.8675
2016-06-21,Cyclopsmedtech,Technology,Medical Technology Provider,Bengalore,CP Bothra,Seed,0.0
2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed,1.245
2016-06-22,Prettysecrets,eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private,49.8
2016-06-23,Spiderg,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed,1.245
2016-06-23,Fareye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private,29.05
2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bengalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed,1.743
2016-06-23,Staqu,Technology,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed,0.0
2016-06-24,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Private,0.0
2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed,0.415
2016-06-24,Pratilipi,Consumer Internet,Multi-Lingual self-publishing platform,Bengalore,Nexus Venture Partners,Seed,0.0
2016-06-24,Parablu,Technology,Cloud Data Security & Privacy Solutions,Bengalore,Kalaari Capital,Seed,4.15
2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private,49.8
2016-06-24,Leap India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private,24.9
2016-06-27,Kabadiexpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed,1.2284
2016-06-27,Yourdost,Consumer Internet,Online counselling & Personal coaching platform,Bengalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed,9.96
2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bengalore,Undisclosed investor,Seed,0.83
2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed,0.0
2016-06-28,Travelyaari,Consumer Internet,Online ticket booking platform,Bengalore,GVFL Ltd,Private,24.9
2016-06-28,Fabhotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private,66.4
2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Ahemdabad,Undisclosed investors,Seed,2.49
2016-06-28,Lending Kart,Consumer Internet,Online Working Capital Business Loans Platform,Ahemdabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private,265.6
2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed,2.4485
2016-06-28,Mysuperbrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed,0.0
2016-06-29,Blogbeats,Consumer Internet,Online Blogging Platform,Bengalore,Undisclosed Investor,Seed,0.0
2016-06-29,Letreach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private,0.83
2016-06-29,Trendieapp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed,0.415
2016-06-29,Impact Guru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed,0.0
2016-06-30,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private,12.45
2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private,207.5
2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bengalore,Aarin Capital,Seed,1.826
2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bengalore,"Omidyar Network, Accel Partners & existing investors",Private,0.0
2016-05-01,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Private,3.0544
2016-05-01,Motomojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed,0.0
2016-05-01,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed,3.1208
2016-05-02,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed,1.2035
2016-05-03,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed,0.0
2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private,415.0
2016-05-03,Idreamcareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private,0.0
2016-05-03,Zwayam,Consumer Internet,Online Recruitment Platform,Bengalore,Undisclosed investors,Seed,2.075
2016-05-03,Boibanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed,0.0
2016-05-03,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed,1.494
2016-05-04,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private,0.0
2016-05-04,Easyroads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed,1.66
2016-05-04,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private,498.0
2016-05-04,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private,99.6
2016-05-04,Solartown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed,1.66
2016-05-04,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed,1.66
2016-05-04,Mydentistchoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed,1.245
2016-05-04,Active Ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed,4.15
2016-05-04,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed,4.15
2016-05-05,Indee,Consumer Internet,Web Video Streaming Platform,Bengalore,Kalaari Capital Accelerator Program,Seed,4.15
2016-05-05,Unbxd,Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private,0.0
2016-05-06,Weballigator,Consumer Internet,Cloud Based Software Solutions,Bengalore,Group of undisclosed Angel Investors & HNIs,Seed,3.1125
2016-05-06,Eduace Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private,8.3
2016-05-07,Meesho,eCommerce,Social commerce platform,Bengalore,Rajul Garg & Others,Seed,0.0
2016-05-09,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed,0.6225
2016-05-09,Locus,Technology,Logistics Intelligence platform,Bengalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private,22.825
2016-05-09,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bengalore,"Roopak Saluja, Vishal Khare",Seed,3.735
2016-05-10,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed,2.075
2016-05-10,Healthifyme,Consumer Internet,Health & Fitness App,Bengalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private,49.8
2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private,12.45
2016-05-10,Innonano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private,149.4
2016-05-10,Schoolwear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed,12.45
2016-05-11,Swiggy,Consumer Internet,Food Delivery Platform,Bengalore,"Norwest Venture Partners, DST Global, Accel Partners",Private,58.1
2016-05-11,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bengalore,Undisclosed Investors,Private,7.47
2016-05-11,Faircent.Com,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private,0.0
2016-05-12,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private,830.0
2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,Bengalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed,4.15
2016-05-12,Capital Float,Consumer Internet,Online Lending Platform,Bengalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private,207.5
2016-05-12,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private,1.245
2016-05-12,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed,0.0
2016-05-12,Shabdanagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed,0.0
2016-05-12,Galleri5,Consumer Internet,Visual Content Discovery platform,Bengalore,"Phanindra Sama, Raghunandan G,",Seed,0.0
2016-05-13,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed,0.0
2016-05-13,Stayzilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private,112.05
2016-05-16,Wow Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private,18.26
2016-05-16,Smartivity,eCommerce,Smart Learning products,New Delhi,"S Chand, AdvantEdge Partners",Private,8.3
2016-05-17,Bedbathmore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private,0.0
2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private,0.0
2016-05-17,Crown-It,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private,0.0
2016-05-18,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed,0.0
2016-05-18,Thesmartq,Consumer Internet,Food Ordering Mobile App,Bengalore,YourNest Angel Fund,Seed,2.075
2016-05-18,Purplehealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed,0.83
2016-05-18,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed,0.0
2016-05-18,Edupristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private,83.0
2016-05-18,Bhive Workspace,Reality,Co-Working Spaces,Bengalore,Blume Ventures,Private,8.3
2016-05-19,Parentlane,Consumer Internet,Parenting & Child Care app,Bengalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed,0.0
2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed,8.3
2016-05-19,Niki.Ai,Technology,Artificial Intelligence Platform,Bengalore,Ratan Tata,Private,0.0
2016-05-19,Taxivaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed,4.15
2016-05-20,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed,4.15
2016-05-23,I2Ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed,2.49
2016-05-23,Edurev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed,0.0
2016-05-24,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed,0.7387
2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed,0.0
2016-05-25,Goalwise,Consumer Internet,Online investment platform,Bengalore,Undisclosed HNIs,Seed,8.3
2016-05-25,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed,0.0
2016-05-25,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bengalore,Gray Matters Capital,Private,12.45
2016-05-25,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed,0.83
2016-05-26,Shethepeople,Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed,0.0
2016-05-26,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bengalore,"FF Angel, Sequoia Capital",Private,16.6
2016-05-26,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private,0.0
2016-05-27,Mchamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed,3.9425
2016-05-30,Pianta,Consumer Internet,Online healthcare service discovery platform,Bengalore,"Kunal Shah, Sandeep Tandon",Seed,0.0
2016-05-31,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed,1.66
2016-05-31,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed,0.0
2016-05-31,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private,36.52
2016-05-31,Ccavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private,73.87
2016-05-31,1Mg,eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private,0.0
2016-05-31,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed,0.0
2016-04-01,Machadalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed,1.4525
2016-04-01,Dil Mil,Consumer Internet,Matchmaking Mobile App,Bengalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private,22.41
2016-04-01,Picsdream,Consumer Internet,Online Marketplace for Photographers,New Delhi,Raman Roy,Seed,0.0
2016-04-04,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed,0.0
2016-04-04,Housing.Com,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private,0.0
2016-04-04,Rollmafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed,0.0
2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private,207.5
2016-04-05,Highway Delite,Consumer Internet,Various Highway Help Services,Bengalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed,0.0
2016-04-05,Cult Fitness,Healthcare,Healthcare training programs,Bengalore,Mukesh Bansal,Seed,0.0
2016-04-05,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private,0.0
2016-04-06,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private,0.0
2016-04-06,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private,8.3
2016-04-06,Gear6,Consumer Internet,Online bike service and repairs platform,Bengalore,Ninestarter,Seed,4.15
2016-04-06,Myglamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private,49.8
2016-04-07,Petoo,Consumer Internet,Online Food Delivery Platform,Bengalore,Axilor Ventures,Private,8.3
2016-04-08,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private,0.0
2016-04-08,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed,0.0
2016-04-08,Vahanalytics,Education,Mobile Education Platform,Chennai,Villgro,Seed,0.0
2016-04-11,Imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed,0.332
2016-04-11,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed,1.66
2016-04-11,Vegfru,eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed,0.0
2016-04-11,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private,830.0
2016-04-12,Priceraja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed,2.49
2016-04-12,Magicx,Consumer Internet,On-Demand Task Management App,Bengalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed,8.3
2016-04-12,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed,0.0
2016-04-12,Lenden Club,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed,0.0
2016-04-13,Legal Raasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed,8.3
2016-04-13,Raincan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed,1.245
2016-04-13,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed,2.075
2016-04-14,Kredx,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bengalore,"Prime Venture Partners,",Seed,6.225
2016-04-14,Wedwise,Consumer Internet,Wedding related services community,New Delhi,StartUp Equity Partners,Seed,0.0
2016-04-15,Beaconstalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed,0.83
2016-04-15,Deal 4Loans,Consumer Internet,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed,0.0
2016-04-15,Renewbuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed,8.3
2016-04-15,Blue Box Media,Consumer Internet,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed,0.0
2016-04-15,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private,124.5
2016-04-15,Organicshop,eCommerce,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed,0.0
2016-04-15,Mindyourfleet,Consumer Internet,Car Rental Software,Noida,Undisclosed Investors,Seed,0.0
2016-04-15,Nestaway,Consumer Internet,Furnished Home Rental Platform,Bengalore,Tiger Global,Private,249.0
2016-04-18,Tapchief,Consumer Internet,Expert Advice Platform,Bengalore,Vijay Shekhar Sharma,Seed,1.245
2016-04-18,Rapido,Consumer Internet,Bike Aggregator App,Bengalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private,0.0
2016-04-18,Yufta,eCommerce,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Bengalore,Ajay Data & other HNIs,Seed,0.0
2016-04-18,Smytten,eCommerce,Online Discovery and Shopping Platform,Gurgaon,Rajan Anandan,Seed,0.0
2016-04-18,Houssup,Consumer Internet,interior design and home furnishing portal,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed,0.0
2016-04-18,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private,83.0
2016-04-19,Tork Motocycles,Auto,Electric Motorcycle Manufacturer,Pune,"Bhavish Aggarwal, Ankit Bhati",Seed,0.0
2016-04-19,Betaout,eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private,12.45
2016-04-19,Driverscart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed,3.735
2016-04-19,Lenskart,eCommerce,Eyewear etailing platform,New Delhi,Ratan Tata,Private,0.0
2016-04-19,Collegedekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private,16.6
2016-04-19,Oyofit,Consumer Internet,Fitness Services Aggregator platform,Bengalore,RN Agarwal,Seed,0.0
2016-04-19,Oliveboard,Consumer Internet,Online exam practice & preparation platform,Bengalore,India Educational Investment Fund,Private,0.0
2016-04-20,Simplilearn,Consumer Internet,Online certification platform,Bengalore,Brand Capital,Private,0.0
2016-04-20,1Mg,eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private,124.5
2016-04-20,Fashalot,Consumer Internet,Fashion and Store discovery mobile app,New Delhi,"YourNest Angel Fund, Rajul Garg",Seed,0.0
2016-04-21,Broomberg,Consumer Internet,Cleaning Services Provider,New Delhi,Undisclosed Angel investors & HNIs,Seed,0.0
2016-04-21,M.Paani,Consumer Internet,Loyalty rewards platform,Mumbai,"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners",Seed,0.0
2016-04-21,Yufta,eCommerce,hyperlocal fashion retail platform,Jaipur,Ajay Data & undisclosed HNIs,Seed,0.0
